Locationabbr,Locationdesc,Question,Response,Sample_Size
AL,Alabama,Ever told you that you have a form of depression?,Yes,"1,961"
AL,Alabama,Ever told you that you have a form of depression?,No,"6,650"
AL,Alabama,Have you ever been told by a doctor that you have diabetes?,Yes,"1,528"
AL,Alabama,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",62
AL,Alabama,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",157
AL,Alabama,Have you ever been told by a doctor that you have diabetes?,No,"6,892"
AL,Alabama,Ever told you have kidney disease?,Yes,328
AL,Alabama,Ever told you have kidney disease?,No,"8,295"
AL,Alabama,Ever told you had any other types of cancer?,Yes,942
AL,Alabama,Ever told you had any other types of cancer?,No,"7,681"
AL,Alabama,Ever told you had skin cancer?,Yes,"1,025"
AL,Alabama,Ever told you had skin cancer?,No,"7,595"
AL,Alabama,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,785
AL,Alabama,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"4,737"
AL,Alabama,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,400
AL,Alabama,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"4,100"
AL,Alabama,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"4,019"
AL,Alabama,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,626"
AL,Alabama,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"3,046"
AL,Alabama,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,"1,404"
AL,Alabama,What is your age?,18-24 years,439
AL,Alabama,What is your age?,25-34 years,759
AL,Alabama,What is your age?,35-44 years,896
AL,Alabama,What is your age?,45-54 years,"1,421"
AL,Alabama,What is your age?,55-64 years,"2,001"
AL,Alabama,What is your age?,65+ years,"3,136"
AL,Alabama,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,684
AL,Alabama,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"7,745"
AL,Alabama,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,"1,429"
AL,Alabama,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"6,965"
AL,Alabama,Do you have difficulty doing errands alone?,Yes,"1,135"
AL,Alabama,Do you have difficulty doing errands alone?,No,"7,264"
AL,Alabama,Do you have difficulty dressing or bathing?,Yes,575
AL,Alabama,Do you have difficulty dressing or bathing?,No,"7,836"
AL,Alabama,Do you have serious difficulty walking or climbing stairs?,Yes,"2,322"
AL,Alabama,Do you have serious difficulty walking or climbing stairs?,No,"6,080"
AL,Alabama,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"2,867"
AL,Alabama,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"5,561"
AL,Alabama,Adults with health problem(s) that requires the use of special equipment,Yes,"1,422"
AL,Alabama,Adults with health problem(s) that requires the use of special equipment,No,"7,030"
AR,Arkansas,Gender of respondent,Male,"1,904"
AL,Alabama,What is the highest grade or year of school you completed?,Less than H.S.,"1,063"
AL,Alabama,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"2,756"
AL,Alabama,What is the highest grade or year of school you completed?,Some post-H.S.,"2,470"
AL,Alabama,What is the highest grade or year of school you completed?,College+,"2,327"
AL,Alabama,What is your employment status?,No work< yr,173
AL,Alabama,What is your employment status?,No work >yr,231
AL,Alabama,What is your employment status?,Student,173
AL,Alabama,What is your employment status?,Retired,"2,731"
AL,Alabama,What is your employment status?,Unable to work,"1,378"
AL,Alabama,What is your employment status?,Employed,"2,840"
AL,Alabama,What is your employment status?,Homemaker,596
AL,Alabama,What is your employment status?,Self-employed,473
AR,Arkansas,Gender of respondent,Female,"3,354"
AL,Alabama,What is your annual household income?,"Less than $15,000","1,162"
AL,Alabama,What is your annual household income?,"$15,000 - 24,999","1,451"
AL,Alabama,What is your annual household income?,"$25,000 - 34,999",804
AL,Alabama,What is your annual household income?,"$35,000 -  49,999","1,016"
AL,Alabama,What is your annual household income?,"$50,000+","2,464"
AL,Alabama,Have you used the internet in the past 30 days?,Yes,"5,756"
AL,Alabama,Have you used the internet in the past 30 days?,No,"2,771"
AL,Alabama,What is your marital status?,Married,"4,275"
AL,Alabama,What is your marital status?,Divorced,"1,304"
AL,Alabama,What is your marital status?,Widowed,"1,457"
AL,Alabama,What is your marital status?,Separated,277
AL,Alabama,What is your marital status?,Never married,"1,188"
AL,Alabama,What is your marital status?,Partnered,109
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,22
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,102
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,255
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,681
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,946
AL,Alabama,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"6,614"
AL,Alabama,What is your race/ethnicity?,White,"6,026"
AL,Alabama,What is your race/ethnicity?,Black,"2,176"
AL,Alabama,What is your race/ethnicity?,MultiRacial,94
AL,Alabama,What is your race/ethnicity?,Other,189
AL,Alabama,What is your race/ethnicity?,Hispanic,77
AL,Alabama,Do you own or rent your home?,Own,"6,259"
AL,Alabama,Do you own or rent your home?,Rent,"1,602"
AL,Alabama,Do you own or rent your home?,Other,583
AL,Alabama,Gender of respondent,Male,"3,115"
AL,Alabama,Gender of respondent,Female,"5,537"
AL,Alabama,Have you ever served on active duty in the United States Armed Forces?,Yes,"1,180"
AL,Alabama,Have you ever served on active duty in the United States Armed Forces?,No,"7,462"
AL,Alabama,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,"1,249"
AL,Alabama,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"7,380"
AL,Alabama,Do you have any kind of health care coverage?,Yes,"7,825"
AL,Alabama,Do you have any kind of health care coverage?,No,806
AL,Alabama,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"6,680"
AL,Alabama,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,801
AL,Alabama,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,418
AL,Alabama,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,501
AL,Alabama,About how long has it been since you last visited a doctor for a routine checkup?,Never,77
AL,Alabama,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","6,312"
AL,Alabama,Do you have one person you think of as your personal doctor or health care provider?,More than one,"1,047"
AL,Alabama,Do you have one person you think of as your personal doctor or health care provider?,No,"1,275"
AL,Alabama,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,650"
AL,Alabama,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,790
AL,Alabama,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"6,265"
AL,Alabama,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"2,359"
AL,Alabama,How is your general health?,Excellent,"1,146"
AL,Alabama,How is your general health?,Very good,"2,227"
AL,Alabama,How is your general health?,Good,"2,892"
AL,Alabama,How is your general health?,Fair,"1,578"
AL,Alabama,How is your general health?,Poor,781
AL,Alabama,Have you ever been tested for HIV?,Yes,"2,512"
AL,Alabama,Have you ever been tested for HIV?,No,"5,357"
AL,Alabama,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"1,942"
AL,Alabama,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,081"
AL,Alabama,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"1,972"
AL,Alabama,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,958
AL,Alabama,Have you ever had the shingles or zoster vaccine?,Yes,"1,092"
AL,Alabama,Have you ever had the shingles or zoster vaccine?,No,"4,628"
AL,Alabama,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,73
AL,Alabama,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"2,852"
AL,Alabama,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"7,446"
AL,Alabama,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,871
AL,Alabama,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,624
AL,Alabama,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"2,392"
AL,Alabama,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"5,143"
AL,Alabama,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"3,370"
AL,Alabama,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,276"
AL,Alabama,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"3,199"
AL,Alabama,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,814"
AL,Alabama,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"2,814"
AL,Alabama,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"2,425"
AL,Alabama,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),137
AL,Alabama,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"6,056"
AL,Alabama,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,583"
AL,Alabama,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,196"
AL,Alabama,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,958
AL,Alabama,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,490"
AL,Alabama,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"6,878"
AL,Alabama,"Do you currently use chewing tobacco, snuff, or snus?",Every day,227
AL,Alabama,"Do you currently use chewing tobacco, snuff, or snus?",Some days,134
AL,Alabama,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"8,043"
AK,Alaska,Ever told you had a stroke?,No,"4,233"
AL,Alabama,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"1,048"
AL,Alabama,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,442
AL,Alabama,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,271"
AL,Alabama,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,607"
AK,Alaska,Ever told you had a heart attack (myocardial infarction)?,Yes,182
AL,Alabama,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,302"
AL,Alabama,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,609
AL,Alabama,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,860"
AL,Alabama,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,871
AL,Alabama,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,271"
AL,Alabama,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,072"
AK,Alaska,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,385"
AL,Alabama,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,228"
AL,Alabama,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,715
AL,Alabama,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,686"
AL,Alabama,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,370
AK,Alaska,Adults who have had at least one drink of alcohol within the past 30 days,No,"1,798"
AK,Alaska,Ever told you had a heart attack (myocardial infarction)?,No,"4,183"
AK,Alaska,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,697
AK,Alaska,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"3,437"
AK,Alaska,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,350
AK,Alaska,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"3,776"
AK,Alaska,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"1,261"
AK,Alaska,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"3,091"
AK,Alaska,Ever told you had a stroke?,Yes,142
AK,Alaska,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,367
AK,Alaska,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"3,993"
AK,Alaska,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,549
AK,Alaska,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"3,826"
AK,Alaska,Ever told you had angina or coronary heart disease?,Yes,156
AK,Alaska,Ever told you had angina or coronary heart disease?,No,"4,202"
AK,Alaska,Ever told you have COPD?,Yes,258
AK,Alaska,Ever told you have COPD?,No,"4,111"
AK,Alaska,Ever told you that you have a form of depression?,Yes,717
AK,Alaska,Ever told you that you have a form of depression?,No,"3,656"
AK,Alaska,Have you ever been told by a doctor that you have diabetes?,No,"3,861"
AK,Alaska,Have you ever been told by a doctor that you have diabetes?,Yes,403
AK,Alaska,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",42
AK,Alaska,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",77
AK,Alaska,Ever told you have kidney disease?,Yes,117
AK,Alaska,Ever told you have kidney disease?,No,"4,263"
AK,Alaska,Ever told you had any other types of cancer?,Yes,360
AK,Alaska,Ever told you had any other types of cancer?,No,"4,017"
AK,Alaska,Ever told you had skin cancer?,Yes,219
AK,Alaska,Ever told you had skin cancer?,No,"4,160"
AK,Alaska,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,190
AK,Alaska,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"2,184"
AK,Alaska,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,89
AK,Alaska,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,017"
AK,Alaska,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"1,604"
AK,Alaska,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,793
AK,Alaska,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"1,270"
AK,Alaska,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,782
AK,Alaska,What is your age?,18-24 years,245
AK,Alaska,What is your age?,25-34 years,557
AK,Alaska,What is your age?,35-44 years,643
AK,Alaska,What is your age?,45-54 years,886
AK,Alaska,What is your age?,55-64 years,"1,069"
AK,Alaska,What is your age?,65+ years,988
AK,Alaska,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,164
AK,Alaska,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"4,093"
AK,Alaska,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,295
AK,Alaska,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"3,951"
AK,Alaska,Do you have difficulty doing errands alone?,Yes,224
AK,Alaska,Do you have difficulty doing errands alone?,No,"4,028"
AK,Alaska,Do you have difficulty dressing or bathing?,Yes,151
AK,Alaska,Do you have difficulty dressing or bathing?,No,"4,100"
AK,Alaska,Do you have serious difficulty walking or climbing stairs?,Yes,508
AK,Alaska,Do you have serious difficulty walking or climbing stairs?,No,"3,742"
AK,Alaska,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,995
AK,Alaska,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"3,267"
AK,Alaska,Adults with health problem(s) that requires the use of special equipment,Yes,391
AK,Alaska,Adults with health problem(s) that requires the use of special equipment,No,"3,875"
AK,Alaska,What is your employment status?,Homemaker,268
AK,Alaska,What is your employment status?,Self-employed,424
AK,Alaska,What is the highest grade or year of school you completed?,Less than H.S.,232
AK,Alaska,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"1,119"
AK,Alaska,What is the highest grade or year of school you completed?,Some post-H.S.,"1,289"
AK,Alaska,What is the highest grade or year of school you completed?,College+,"1,706"
AK,Alaska,What is your employment status?,No work< yr,129
AK,Alaska,What is your employment status?,No work >yr,101
AK,Alaska,What is your employment status?,Student,86
AK,Alaska,What is your employment status?,Retired,968
AK,Alaska,What is your employment status?,Unable to work,207
AK,Alaska,What is your employment status?,Employed,"2,136"
AK,Alaska,What is your annual household income?,"Less than $15,000",330
AK,Alaska,What is your annual household income?,"$15,000 - 24,999",453
AK,Alaska,What is your annual household income?,"$25,000 - 34,999",316
AK,Alaska,What is your annual household income?,"$35,000 -  49,999",511
AK,Alaska,What is your annual household income?,"$50,000+","2,290"
AK,Alaska,Have you used the internet in the past 30 days?,Yes,"3,775"
AK,Alaska,Have you used the internet in the past 30 days?,No,531
AK,Alaska,What is your marital status?,Married,"2,438"
AK,Alaska,What is your marital status?,Divorced,634
AK,Alaska,What is your marital status?,Widowed,352
AK,Alaska,What is your marital status?,Separated,94
AK,Alaska,What is your marital status?,Never married,657
AK,Alaska,What is your marital status?,Partnered,163
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,60
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,108
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,248
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,498
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,555
AK,Alaska,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"2,889"
AK,Alaska,What is your race/ethnicity?,White,"3,276"
AK,Alaska,What is your race/ethnicity?,MultiRacial,166
AK,Alaska,What is your race/ethnicity?,Other,624
AK,Alaska,What is your race/ethnicity?,Hispanic,136
AK,Alaska,Do you own or rent your home?,Own,"3,130"
AK,Alaska,Do you own or rent your home?,Rent,995
AK,Alaska,Do you own or rent your home?,Other,152
AK,Alaska,Have you ever served on active duty in the United States Armed Forces?,Yes,711
AK,Alaska,Have you ever served on active duty in the United States Armed Forces?,No,"3,667"
AK,Alaska,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,447
AK,Alaska,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"3,924"
AK,Alaska,Do you have any kind of health care coverage?,Yes,"3,905"
AK,Alaska,Do you have any kind of health care coverage?,No,448
AK,Alaska,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"2,725"
AK,Alaska,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,686
AK,Alaska,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,415
AK,Alaska,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,473
AK,Alaska,About how long has it been since you last visited a doctor for a routine checkup?,Never,35
AK,Alaska,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","2,599"
AK,Alaska,Do you have one person you think of as your personal doctor or health care provider?,More than one,565
AK,Alaska,Do you have one person you think of as your personal doctor or health care provider?,No,"1,152"
AK,Alaska,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"2,882"
AK,Alaska,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,430
AK,Alaska,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"3,754"
AK,Alaska,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,617
AK,Alaska,How is your general health?,Excellent,869
AK,Alaska,How is your general health?,Very good,"1,558"
AK,Alaska,How is your general health?,Good,"1,327"
AK,Alaska,How is your general health?,Fair,438
AK,Alaska,How is your general health?,Poor,179
AK,Alaska,Have you ever been tested for HIV?,Yes,"1,554"
AK,Alaska,Have you ever been tested for HIV?,No,"2,489"
AK,Alaska,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,480
AK,Alaska,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,460
AK,Alaska,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,570
AK,Alaska,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,329
AK,Alaska,Have you ever had the shingles or zoster vaccine?,Yes,574
AK,Alaska,Have you ever had the shingles or zoster vaccine?,No,"1,852"
AK,Alaska,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,58
AK,Alaska,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"2,345"
AK,Alaska,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"3,464"
AK,Alaska,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,727
AK,Alaska,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,113
AK,Alaska,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,826
AK,Alaska,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"2,921"
AK,Alaska,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"1,443"
AK,Alaska,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"2,009"
AK,Alaska,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"2,285"
AK,Alaska,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"1,239"
AK,Alaska,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"1,487"
AK,Alaska,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"1,362"
AK,Alaska,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),54
CA,California,Gender of respondent,Male,"4,198"
AK,Alaska,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"3,563"
AK,Alaska,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,815
AK,Alaska,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,503
AK,Alaska,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,786
AK,Alaska,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,749
AK,Alaska,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"3,477"
CA,California,Gender of respondent,Female,"4,634"
AK,Alaska,"Do you currently use chewing tobacco, snuff, or snus?",Every day,121
AK,Alaska,"Do you currently use chewing tobacco, snuff, or snus?",Some days,77
AK,Alaska,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"4,006"
AK,Alaska,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,523
AK,Alaska,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,226
AK,Alaska,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"1,247"
AK,Alaska,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"2,230"
AK,Alaska,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,774
AK,Alaska,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,359
AK,Alaska,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,886
AK,Alaska,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,434
AK,Alaska,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,075"
AK,Alaska,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,608
AZ,Arizona,Ever told you had skin cancer?,Yes,"2,209"
AZ,Arizona,Ever told you had skin cancer?,No,"12,604"
AK,Alaska,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"1,304"
